titolo,autore,quantita,eta_minima,genere
365 esperimenti per piccoli scienziati,Attività usborne,1,8,scienza
Abbecedario di Tony Wolf,Dami editore,1,7,narrativa
Achille e la fuga dal mondo blu,F- Gungui,1,8,storia
Ada al contrario,G. Risari,1,7,narrativa
Aesop's fables ,Smart readers .celtic ,1,10,narrativa
Agatha Mistery: Furto alle cascate del Niagara,Sir S. Stevenson,1,10,giallo
"Ahi, ahi ahi, è finita l'energia -6",G. Stilton,1,6,giallo
Albert Einstein,Mike Goldsmith,1,8,scienza
Alfabeto degli amici di Giulio Coniglio ,Nicoletta Costa ,1,6,narrativa
Alla ricerca dei colori perduti,Strianese,1,6,narrativa
Alla ricerca di Bi,T. Bruno,1,6,narrativa
Alpacas maracas,"L. Sims, D. Semple",1,6,lingue
Alto quanto basta,Io leggo da solo,1,6,narrativa
"Alto, forte con i capelli un pò lunghi",Il mulino a vento,1,7,narrativa
Amici da spiaggia,Il castoro ,1,7,narrativa
Animali,Dami editore,1,6,scienza
Annibale,F. Grilli,1,8,storia
Antartide,Hernando e Martin,1,8,scienza
Archimede,V- Conti,1,8,scienza
Atlante dei popoli del mondo,Banca crt,1,8,scienza
Atlante geografico del mondo,Mosaico,1,8,scienza
Avventure senza tempo .Robin Hood ,Fabbri Editori ,1,7,narrativa
Avventure...a scuola,Quaresima,1,6,narrativa
Babbo natale e la notte dei sogni ,Gribaudo ,1,6,narrativa
Barbie La principessa Pop Star,Parragon,1,6,narrativa
Barzellette per bambini,Rusconi Libri,1,6,comico
Basket league,L. Cognolato,1,8,sport
Beauty and the beast,Usborne Picture books,1,10,lingue
biancaneve,gribaudo,2,7,narrativa
Bruno lo zozzo e l'invasione degli amici invisibili,Simone Frasca,1,7,narrativa
Caccia al virus,Il mulino a vento,1,7,scienza
Camillolandia,none,6,7,narrativa
cane puzzone,gutman-boutavant,1,6,narrativa
Capitan Fox all' arrembaggio,M. innocenti S. Frasca,1,7,narrativa
Cappuccetto rosso,Perrault,1,6,narrativa
Carnet valsesiano,C. Gromis di Trana,1,10,storia
Case...ma non solo,CASENOSTRE,1,6,scienza
Caterina e i folletti scolastici,S. Rondinelli,1,6,narrativa
Caterina e tutto il resto,Il battello a vapore,1,6,narrativa
Charlie diventa un pollo,Copeland,1,6,narrativa
Che cos'è un bambino,B. Alemagna,1,6,scienza
chi ha incendiato la biblioteca?,Lavatelli,1,7,narrativa
Chiudi il rubinetto Stilton - 7,G. Stilton,2,6,narrativa
Ciao Maestro,Il mulino a vento,3,6,narrativa
"Ciao, mi chiamo Fliggy",Il rosicchia favole,5,6,narrativa
C'è nessuno?,J. Gaardner,1,8,narrativa
Ciro e le nuvole ,Roberto Piumini ,1,7,narrativa
Con le mani nella terra,E. Bussolati,1,7,narrativa
"Corri, Malik, corri",L. Garlando,1,7,narrativa
Costituzione della Repubblica Italiana,none,5,10,storia
Creo con il mosaico ,Algranti ,1,6,arte
Cuore,de Amicis,1,8,narrativa
Cuoriconnessi 3,L. Pagliari,1,8,narrativa
Da domani non esisto più,Lisa Thompson,1,7,narrativa
Di professione fantasma,Il battello a vapore,1,8,giallo
Di professione fantasma,H. Monteilhet,1,8,narrativa
Diario di un dinosauro,Il battello a vapore,1,8,narrativa
Diario di una schiappa - 1,Scrittori di classe,2,9,narrativa
Diario di una schiappa - 4,Scrittori di classe,1,9,narrativa
Dinosauri,D. Lambert,1,8,scienza
Doodle draws doodles,Usborne Picture books,1,10,lingue
"Draghi, briganti e figlie di re ",Quarzo,10,10,narrativa
"E' gelosia, piccolo Tobia",M- Albertini,1,7,narrativa
E' scomparso Rosicchio,Bernstein,1,6,narrativa
E' stato il silenzio,P. Valente,1,7,narrativa
Echidna mania,Justin D'Ath,1,10,narrativa
Emily - La grotta del tesoro,L. Kessler,1,9,narrativa
Emozioni per tutti i giorni,Menendez-Ponte,1,6,narrativa
Favole dall'Africa,Lino Ballarin,1,6,narrativa
Favole dalla Costa d'Avorio,Silvana Galli,1,6,narrativa
favole moderne per crescere bambini intelligenti,ann sepolveda,1,6,narrativa
Fiabe di mare,I. Calvino,1,6,narrativa
Fiabe lunghe un sorriso,G. Rodari,1,6,narrativa
Fiabe per crescere . Hansel e Gretel -I tre porcellini ,Fratelli Grimm- Jacobs ,1,6,narrativa
Filastrocche in cielo e in terra,G. Rodari,1,6,narrativa
Fiori del Piemonte,Regione Piemonte,1,6,scienza
Fra Pierino e il suo ciuchino,Juan Munoz Martin,1,6,narrativa
Frankestein,R. Melchiorre,1,10,narrativa
Game over,M. Gamba - S. Fornara,1,10,narrativa
Gastone ha paura dell'acqua,Il battello a vapore,1,6,narrativa
"Gatti, attori e battaglie",Il mulino a vento,2,6,narrativa
Gelsomino nel paese di bugiardi,G. Rodari,1,6,narrativa
Giò Duepiedi,S. Gallo,1,6,narrativa
Giochi di scrittura,Bordiglioni,1,20,saggio
Giovannino pestacacca,Magnaschi,1,6,narrativa
Giro del giorno in 5 mesi,A. Mistery,1,6,narrativa
Girotindo d'autunno,Pandini -Manea ,1,7,narrativa
Giù le zampe dal nostro mare 4,G. Stilton,2,6,narrativa
"Giù le zampe, faccia di fondotinta",Geronimo Stilton,1,6,narrativa
"Giuletta, streghetta perfetta",G. Marchegiani,1,7,narrativa
Gli anfibi dall'acqua alla terra,Joca Book,1,8,scienza
gli animali e i loro cuccioli,mariotti,1,8,scienza
Gli animali nelle favole,"Fedro, Esopo, Tolstoj",1,9,scienza
Gli animali non erano colorati .,Beatrice Masini ,1,6,narrativa
Gli incredibili viaggi di Gulliver,J. Swift,1,8,narrativa
Gli uccelli,M. Merritt,1,8,scienza
Gol - un nuovo inizio,L. Garlando,1,7,sport
gol finale a sorpresa,luigi garlando,1,7,sport
gol!  calcio d' inizio,luigi garlando,1,7,sport
gol!  un  nuovo  inizio,luigi garlando,1,7,sport
gol! cipolline all' arrabiata,luigi garlando,1,7,sport
gol! scontro fra capitani,luigi garlando,1,7,sport
Goldilocks and the three bears,Giunti,1,10,lingue
Grande Enciclopedia per ragazzi - Animali volume ,La bibblioteca di Repubblica,1,10,scienza
Guinness world records 2014,Mondadori,1,10,saggio
Halloween party,Tea Stilton,1,10,narrativa
hansel e gretel,gribaudo,2,10,narrativa
How the crab got his claws,R. Kipling,1,10,lingue
How the leopardgot his spots,Usborne Picture books,1,10,lingue
I conflitti globali,L. Spilsbury; H. Kai,1,20,storia
I laboratori della fantasia,vari,1,20,saggio
I miti della preistoria,N. Vittori,1,8,storia
I need a hug,A. Blabey,1,10,lingue
I promossi sposi,Alessandro manzoni,1,10,narrativa
I racconti della foresta,H. Quiroga,1,10,narrativa
I ragazzi della via Pal,F. Molnar,1,10,narrativa
I rapatori di teste,M- Moschini,1,10,narrativa
I tre delitti di Anubi ,Convard,1,8,giallo
I viaggi di Gulliver ,Swift Jonathan  ,1,8,narrativa
Il barone di Munchhausen,Il mulino a vento,2,9,narrativa
Il bosco delle lettere,P- Costalunga,1,7,narrativa
Il brutto anatroccolo ,Edizioni El,1,6,narrativa
Il cavallo che non voleva correre,C. Balding,1,6,narrativa
Il club dei cuochi segreti,E. Bussolati F. Buglioni,1,6,giallo
Il codice dei ladri,Stivenson,1,8,giallo
Il compleanno di Pokonaso,Topo di biblioteca,1,7,narrativa
Il concorso mostruoso,J. Niebisch,1,7,giallo
Il diario segreto di Colette,Tea Stilton,1,7,narrativa
Il formichiere pilota,Mondadori,1,7,narrativa
Il frantoio delle storie ,Giunti progetti educativi ,1,7,saggio
Il galeone dei gatti pirati,G. Stilton,1,6,narrativa
Il gallo che amava la luna,Piccione,1,7,narrativa
Il gallo che amava la luna,A. Piccione,1,7,narrativa
Il giallo del sorriso scomparso ,Lavatelli,1,7,giallo
Il giardino segreto,F. Burnett,1,8,giallo
Il giornalino di GianBurrasca,Vamba,1,7,narrativa
Il giro del mondo in 5 misteri,Stevensono,1,7,narrativa
Il giro del mondo in 5 misteri,Steve Stevenson,1,7,narrativa
Il giro del mondo in 80 giorni,G. Stilton,1,6,narrativa
Il giro del mondo in 80 giorni,J. Verne,1,8,narrativa
Il giubbotto di Indiana Jones,A. Balsola,1,8,narrativa
Il gran premio intergalattico stellare!,Armando Traverso,1,9,narrativa
Il libro della giungla,R. Kipling,1,9,narrativa
Il libro gioco.Cerca una storia 1,Carravieri e Valenziano,1,6,saggio
Il lupo che sognava il mare,O. Lallemand,1,7,narrativa
Il mago di Oz,L. F. Baum,1,8,narrativa
Il mio amico Gesù,Io leggo da solo,1,7,religione
Il mio compagno è una cicala,Annalisa Strada,1,7,narrativa
Il mistero dell'acqua,L. Walter,1,7,giallo
Il mistero dell'isola verde,G. Stilton,1,6,giallo
Il mistero della pietra nera,M. Tomatis,1,7,giallo
Il mistero dello scienziato pazzo,R.L. Stine,1,7,giallo
Il mistero dipinto,Cercenà,1,7,giallo
Il mondo di Angel's friends,Giunti Junior,1,10,narrativa
il mondo mi riguarda,clelia lombardo,1,10,narrativa
Il natale degli gnomi,S.L. Bortot,1,6,narrativa
Il nonno insuperabile,Io leggo da solo,1,6,narrativa
"Il pallone è maschio, la palla è femmina",L- Frescura,1,8,sport
Il peggior amico,M. Peterson,2,8,giallo
Il pentolino di Antonino,I. Carrier,1,7,narrativa
Il pianeta degli alberi di Natale,G. Rodari,1,7,narrativa
Il piccolo Lord,F. Burnett,1,7,narrativa
Il piccolo principe,Antoine de Saint-Exupery,1,6,narrativa
Il principe felice e altri racconti,O. Wilde,1,6,narrativa
Il professore non è matto,Il mulino a vento,1,7,narrativa
Il pupazzo parlante,Stine,1,7,narrativa
Il ragioniere-pesce del Cusio,Rodari,1,7,narrativa
Il richiamo della foresta .,Jack London,1,9,narrativa
Il segreto dei vasi neri,N. Vittori,1,7,giallo
Il segreto del coraggio,Geronimo Stilton,1,7,giallo
Il segreto di Nefertiti,Colombo & Simioni,1,7,storia
Il tempio del rubino di fuoco,Geronimo Stilton,1,7,narrativa
Il tesoro della foresta oscura2,G. Stilton,2,8,narrativa
Il tesoro delle colline nere,G. Stilton,1,8,narrativa
Il trattamento ridarelli,KJ.K. Rowling,1,8,narrativa
Il veliero del capitano Strong,Serie blu,1,7,narrativa
Il veliero di Capitano Strong,Mantovani,1,7,narrativa
Ilaboratori della fantasia,Fondazione Marazza,1,6,saggio
In giro per il mondo,Richard Scarry,1,7,narrativa
informa ragazzi! storie di sport e di vita sana,franceso matteuzzi,1,10,sport
io conto,anna cerasoli,1,8,saggio
Janurè e le favole del mondo,Il mulino a vento,1,8,narrativa
King donkey ears,Lesley Sims,1,10,lingue
"Koll, la città sulle isole",Il mulino a vento,2,9,narrativa
L' eco  delle   battaglie,Santuliana,1,10,narrativa
l' isola dei libri perduti ,annalisa strada,1,8,narrativa
L' orripilante mostro trinciasucchiapelo,Riva,1,8,narrativa
L'acqua . Alla salute dei reni ,La guida della salute ,2,10,scienza
L'acqua di Bumba .,Roberto Piumini ,1,8,narrativa
L'alchimia di Nina ,Witcher,1,8,narrativa
l'allegra spedizione!,Priuli & Verlucca,1,7,narrativa
L'antica Roma,N. Vittori,1,10,storia
L'Eneide,C. Elliott,1,10,storia
L'era glaciale 2 .Tutti i segreti,Mondadori ,1,7,narrativa
L'isola delle tabelline,G. Pettarin,1,7,matematica
L'odissea,N. Vittori,1,10,storia
L'omino nella tromba,Il mulino a vento,1,8,narrativa
L'uomo che piantava gli alberi,Jean Giono,1,8,narrativa
la  stanza  dell'equinozio,fattorini,2,8,giallo
La baby-sitter ,R.L. Stine,1,8,narrativa
La bambola viva,Bianca Pitzorno,1,8,narrativa
La battaglia dei colori,Piumini,1,6,narrativa
La casa di nonna Italia,P- valente,1,8,storia
La costituzione raccontata ai bambini,A. Sarfatti,1,8,storia
La famiglia è ...,Ciss,1,7,saggio
La leggenda di Re Artu,Giunti,1,8,storia
La montagna di libri più alta del mondo,Valentina edizioni,1,8,narrativa
La mummia senza nome,Geronimo Stilton,1,8,giallo
La musica di Ginko,R. Piumini,1,8,narrativa
La nascita della Repubblica Italiana e la sua Costituzione,none,1,10,storia
La notte. cosa succcede mentre dormiamo,M. Strugala; M. Piatkowska,1,10,scienza
La nuova dinastia,S. De Mari,1,9,storia
La pioggia,A Pandini - C. Manea,1,6,scienza
La promessa della nonna,Montgomery  litchfield,1,7,narrativa
La scatola dei desideri,W. Mass,1,8,narrativa
La scuola materna,Edizioni El,1,20,saggio
